2022.09.1
cid:153534138, bit_rank:27, bit:1524, score:0.9196, score_perc:0.9997, label:1, frag1:[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[c] frag2:[c;R;D3](:[cH;R;D2]:[cH;R;D2])(:[cH;R;D2]:[cH;R;D2])-[NH;D2]-[c;R;D3], radius:2
cid:153534138, bit_rank:36, bit:191, score:0.9196, score_perc:0.9997, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:153534138, bit_rank:38, bit:1268, score:0.9196, score_perc:0.9997, label:1, frag1:[n](:[c])(:[c])-[CH] frag2:[n;R;D3](:[c;R;D3])(:[c;R;D3])-[CH;R;D3], radius:1
cid:155535089, bit_rank:1, bit:378, score:0.9195, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:155535089, bit_rank:2, bit:807, score:0.9195, score_perc:0.9997, label:1, frag1:[OH] frag2:[OH;D1], radius:0
cid:155535089, bit_rank:3, bit:1152, score:0.9195, score_perc:0.9997, label:1, frag1:[NH] frag2:[NH;D2], radius:0
cid:155535089, bit_rank:4, bit:935, score:0.9195, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D3], radius:0
cid:155535089, bit_rank:8, bit:1480, score:0.9195, score_perc:0.9997, label:1, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:155535089, bit_rank:12, bit:926, score:0.9195, score_perc:0.9997, label:1, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:155535089, bit_rank:24, bit:1982, score:0.9195, score_perc:0.9997, label:1, frag1:[c](=[O])(:[c](:[n]):[n]):[n](:[c])-[CH] frag2:[c;R;D3](=[O;D1])(:[c;R;D3](:[n;R;D2]):[n;R;D3]):[n;R;D3](:[c;R;D3])-[CH;R;D3], radius:2
155535089 rank:25 bit:331 failed
cid:155535089, bit_rank:27, bit:1524, score:0.9195, score_perc:0.9997, label:1, frag1:[c](:[cH]:[cH])(:[cH]:[cH])-[NH]-[c] frag2:[c;R;D3](:[cH;R;D2]:[cH;R;D2])(:[cH;R;D2]:[cH;R;D2])-[NH;D2]-[c;R;D3], radius:2
cid:155535089, bit_rank:36, bit:191, score:0.9195, score_perc:0.9997, label:1, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:155535089, bit_rank:38, bit:1268, score:0.9195, score_perc:0.9997, label:1, frag1:[n](:[c])(:[c])-[CH] frag2:[n;R;D3](:[c;R;D3])(:[c;R;D3])-[CH;R;D3], radius:1
cid:155529547, bit_rank:1, bit:378, score:0.9163, score_perc:0.9997, label:1, frag1:[n] frag2:[n;R;D2], radius:0
cid:155529547, bit_rank:3, bit:1152, score:0.9163, score_perc:0.9997, label:1, frag1:[NH] frag2:[NH;D2], radius:0
