2022.09.1
cid:629239, bit_rank:20, bit:1199, score:0.0001, score_perc:0.0012, label:0, frag1:[cH](:[cH]:[c]):[cH]:[cH] frag2:[cH;R;D2](:[cH;R;D2]:[c;R;D3]):[cH;R;D2]:[cH;R;D2], radius:2
cid:629239, bit_rank:22, bit:80, score:0.0001, score_perc:0.0012, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
cid:16187137, bit_rank:0, bit:1917, score:0.0000, score_perc:0.0006, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:16187137, bit_rank:2, bit:807, score:0.0000, score_perc:0.0006, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:16187137, bit_rank:4, bit:935, score:0.0000, score_perc:0.0006, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:16187137, bit_rank:8, bit:1480, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
cid:16187137, bit_rank:12, bit:926, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:16187137, bit_rank:15, bit:1765, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2](-[c])-[N] frag2:[CH2;D2](-[c;R;D3])-[N;R;D3], radius:1
cid:16187137, bit_rank:22, bit:80, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2] frag2:[CH2;D2], radius:0
16187137 rank:24 bit:1982 failed
cid:2330025, bit_rank:0, bit:1917, score:0.0000, score_perc:0.0006, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:2330025, bit_rank:2, bit:807, score:0.0000, score_perc:0.0006, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:2330025, bit_rank:3, bit:1152, score:0.0000, score_perc:0.0006, label:0, frag1:[NH] frag2:[NH;D2], radius:0
cid:2330025, bit_rank:4, bit:935, score:0.0000, score_perc:0.0006, label:0, frag1:[N] frag2:[N;R;D3], radius:0
cid:2330025, bit_rank:5, bit:1816, score:0.0000, score_perc:0.0006, label:0, frag1:[NH](-[C])-[c] frag2:[NH;D2](-[C;D3])-[c;R;D3], radius:1
cid:2330025, bit_rank:8, bit:1480, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2](-[CH2])-[N] frag2:[CH2;R;D2](-[CH2;R;D2])-[N;R;D3], radius:1
2330025 rank:11 bit:25 failed
cid:2330025, bit_rank:12, bit:926, score:0.0000, score_perc:0.0006, label:0, frag1:[CH2] frag2:[CH2;R;D2], radius:0
cid:2330025, bit_rank:36, bit:191, score:0.0000, score_perc:0.0006, label:0, frag1:[c](:[cH])(:[cH])-[NH] frag2:[c;R;D3](:[cH;R;D2])(:[cH;R;D2])-[NH;D2], radius:1
cid:857613, bit_rank:0, bit:1917, score:0.0000, score_perc:0.0006, label:0, frag1:[O]=[C] frag2:[O;D1]=[C;D3], radius:1
cid:857613, bit_rank:1, bit:378, score:0.0000, score_perc:0.0006, label:0, frag1:[n] frag2:[n;R;D2], radius:0
cid:857613, bit_rank:2, bit:807, score:0.0000, score_perc:0.0006, label:0, frag1:[C] frag2:[C;D3], radius:0
cid:857613, bit_rank:3, bit:1152, score:0.0000, score_perc:0.0006, label:0, frag1:[NH] frag2:[NH;D2], radius:0
