ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
4000_1.0_6_0.010,0.799,0.01,0.31,0.018,0.904,0.009,0.068,0.002,0.607
400_1.0_12_0.33,,,0.607,0.031,,,,,0.607
500_1.0_12_0.33,,,0.607,0.03,,,,,0.607
600_0.0_none_0.40,0.5,0.0,0.308,0.021,0.903,0.008,0.0,0.0,0.6055
600_0.0_none_0.50,0.5,0.0,0.305,0.024,0.903,0.008,0.0,0.0,0.604
400_0.8_12_0.33,,,0.602,0.034,,,,,0.602
500_0.8_12_0.33,,,0.599,0.032,,,,,0.599
600_0.2_4_0.33,0.806,0.022,0.296,0.017,0.897,0.012,0.161,0.011,0.5965
600_1.0_4_0.33,0.816,0.018,0.299,0.02,0.893,0.012,0.128,0.007,0.596
600_0.2_4_0.40,0.808,0.023,0.294,0.017,0.897,0.012,0.164,0.013,0.5955
600_1.0_4_0.40,0.813,0.019,0.295,0.02,0.893,0.011,0.127,0.007,0.594
1200_1.0_20_0.66,,,0.593,0.033,,,,,0.593
600_0.2_4_0.50,0.806,0.022,0.288,0.017,0.898,0.012,0.164,0.012,0.593
4000_1.0_6_0.005,0.791,0.011,0.29,0.017,0.896,0.01,0.065,0.002,0.593
600_1.0_20_0.66,,,0.592,0.034,,,,,0.592
600_0.1_4_0.33,0.773,0.015,0.283,0.011,0.897,0.011,0.205,0.018,0.59
600_1.0_4_0.50,0.811,0.019,0.288,0.019,0.892,0.012,0.129,0.007,0.59
600_0.1_4_0.40,0.778,0.019,0.281,0.012,0.898,0.011,0.204,0.015,0.5895
600_0.1_4_0.50,0.771,0.015,0.279,0.015,0.898,0.011,0.206,0.017,0.5885
500_0.6_12_0.33,,,0.588,0.036,,,,,0.588
600_0.0_12_0.33,0.5,0.0,0.283,0.024,0.889,0.008,0.0,0.0,0.586
400_0.6_12_0.33,,,0.585,0.034,,,,,0.585
600_0.0_12_0.40,0.5,0.0,0.276,0.019,0.892,0.009,0.0,0.0,0.5840000000000001
1200_1.0_10_0.33,,,0.584,0.036,,,,,0.584
200_1.0_20_0.66,,,0.584,0.036,,,,,0.584
500_1.0_10_0.33,,,0.584,0.035,,,,,0.584
400_1.0_10_0.33,,,0.583,0.034,,,,,0.583
200_1.0_10_0.33,,,0.582,0.034,,,,,0.582
600_1.0_10_0.33,,,0.582,0.034,,,,,0.582
500_0.8_10_0.33,,,0.577,0.034,,,,,0.577
600_0.0_12_0.50,0.5,0.0,0.262,0.022,0.889,0.009,0.0,0.0,0.5755
1200_1.0_15_0.66,,,0.574,0.036,,,,,0.574
600_1.0_15_0.66,,,0.573,0.037,,,,,0.573
400_0.8_10_0.33,,,0.572,0.036,,,,,0.572
500_0.6_10_0.33,,,0.565,0.036,,,,,0.565
200_1.0_15_0.66,,,0.564,0.037,,,,,0.564
400_0.6_10_0.33,,,0.56,0.037,,,,,0.56
600_0.0_6_0.33,0.5,0.0,0.226,0.013,0.873,0.01,0.0,0.0,0.5495
600_0.0_6_0.40,0.5,0.0,0.219,0.014,0.875,0.009,0.0,0.0,0.547
600_0.0_6_0.50,0.5,0.0,0.215,0.015,0.872,0.009,0.0,0.0,0.5435
600_0.0_4_0.33,0.5,0.0,0.204,0.007,0.867,0.01,0.0,0.0,0.5355
500_1.0_8_0.33,,,0.534,0.04,,,,,0.534
600_0.0_4_0.40,0.5,0.0,0.194,0.018,0.87,0.011,0.0,0.0,0.532
200_1.0_10_0.66,,,0.531,0.042,,,,,0.531
1200_1.0_10_0.66,,,0.531,0.042,,,,,0.531
600_1.0_10_0.66,,,0.531,0.04,,,,,0.531
400_1.0_8_0.33,,,0.53,0.039,,,,,0.53
600_0.0_4_0.50,0.5,0.0,0.186,0.015,0.869,0.01,0.0,0.0,0.5275
500_0.8_8_0.33,,,0.523,0.042,,,,,0.523
400_0.8_8_0.33,,,0.521,0.042,,,,,0.521
400_0.6_8_0.33,,,0.517,0.042,,,,,0.517
500_0.6_8_0.33,,,0.517,0.038,,,,,0.517
200_1.0_6_0.45,0.847,0.013,,,,,,,
600_1.0_6_0.25,0.846,0.014,,,,,,,
200_1.0_6_0.25,0.846,0.011,,,,,,,
600_1.0_6_0.45,0.844,0.013,,,,,,,
600_0.5_6_0.25,0.839,0.015,,,,,,,
600_0.5_6_0.45,0.838,0.014,,,,,,,
200_0.5_6_0.25,0.836,0.013,,,,,,,
200_0.5_6_0.45,0.833,0.011,,,,,,,
200_0.4_6_0.50,0.827,0.01,,,,,,,
800_0.6_6_0.50,0.826,0.01,,,,,,,
800_0.4_6_0.50,0.826,0.01,,,,,,,
400_0.8_6_0.50,0.825,0.011,,,,,,,
