ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
600_0.1_8_0.50,0.811,0.007,0.555,0.013,0.947,0.01,0.066,0.001,0.751
600_1.0_8_0.01,0.817,0.009,0.551,0.011,0.941,0.008,0.07,0.001,0.746
600_0.5_8_0.01,0.819,0.012,0.545,0.012,0.942,0.009,0.071,0.002,0.7435
600_0.1_8_0.25,0.816,0.01,0.54,0.01,0.945,0.008,0.068,0.002,0.7424999999999999
600_0.1_8_0.15,0.817,0.006,0.538,0.016,0.945,0.009,0.069,0.001,0.7415
600_0.2_6_0.50,0.827,0.008,0.537,0.01,0.943,0.009,0.074,0.001,0.74
600_0.1_8_0.10,0.818,0.009,0.528,0.016,0.945,0.009,0.069,0.002,0.7364999999999999
600_0.2_8_0.01,0.815,0.01,0.531,0.015,0.939,0.01,0.071,0.002,0.735
600_0.5_6_0.50,0.832,0.007,0.527,0.015,0.941,0.01,0.078,0.001,0.734
600_0.2_6_0.25,0.824,0.008,0.526,0.011,0.942,0.009,0.073,0.001,0.734
600_0.5_6_0.25,0.828,0.009,0.527,0.014,0.941,0.01,0.076,0.001,0.734
600_1.0_6_0.25,0.829,0.008,0.514,0.013,0.938,0.01,0.077,0.001,0.726
600_0.1_8_0.05,0.819,0.009,0.508,0.012,0.944,0.009,0.07,0.002,0.726
600_0.2_6_0.15,0.822,0.009,0.51,0.016,0.94,0.01,0.072,0.001,0.725
600_0.5_6_0.15,0.825,0.008,0.507,0.014,0.94,0.008,0.074,0.001,0.7235
600_1.0_6_0.15,0.824,0.009,0.505,0.018,0.937,0.01,0.075,0.002,0.7210000000000001
600_1.0_6_0.50,0.831,0.008,0.498,0.011,0.937,0.011,0.079,0.002,0.7175
600_0.1_8_0.02,0.819,0.009,0.492,0.012,0.94,0.008,0.071,0.002,0.716
600_0.1_6_0.50,0.804,0.005,0.49,0.011,0.938,0.008,0.064,0.001,0.714
600_0.2_6_0.10,0.819,0.009,0.489,0.014,0.938,0.01,0.071,0.002,0.7135
600_1.0_6_0.10,0.821,0.007,0.49,0.022,0.937,0.01,0.073,0.001,0.7135
600_0.5_6_0.10,0.82,0.008,0.486,0.013,0.938,0.009,0.073,0.001,0.712
