mean_decrease_impurity,stdev,feature
0.004901229752235948,0.006512420593803416,desc_SMR_VSA9
0.004887762194402525,0.006186653887533449,desc_EState_VSA10
0.004871820662458395,0.010981733390968577,desc_NumAromaticCarbocycles
0.0048043485278189135,0.010063055051333954,desc_fr_ketone
0.004694858405374492,0.0043584745785730985,desc_EState_VSA5
0.004658328557621835,0.004076849788087724,desc_EState_VSA7
0.00464066472132849,0.007013693945448234,desc_NumHeteroatoms
0.004596328176395701,0.005179170147830879,desc_EState_VSA1
0.0045332331707448464,0.004033832904257464,desc_EState_VSA6
0.004295350610449403,0.005713106291338059,desc_NumValenceElectrons
0.00421004350724894,0.004268173877889414,desc_EState_VSA9
0.0041992482035052795,0.006033839736578807,desc_PEOE_VSA14
0.0041907581610718305,0.004836854236054796,desc_NumRotatableBonds
0.004092503485507695,0.004607460380279427,desc_PEOE_VSA11
0.004055076838335167,0.005498521421617009,desc_NHOHCount
0.004008744785282214,0.00465705275803672,desc_VSA_EState10
0.003916413207999971,0.008226043182655289,desc_HeavyAtomCount
0.003828069390446563,0.006641484898675572,desc_SlogP_VSA11
0.0036183739408119694,0.0054996514707763506,desc_NumHDonors
0.003495791189776728,0.004263213841063099,desc_SlogP_VSA4
0.003492543050528094,0.006272988098941241,desc_fr_aniline
0.0034043577167431225,0.004162158552627401,desc_PEOE_VSA4
0.003305945918433486,0.0049142015872833044,desc_fr_Ar_N
0.003273153280186652,0.004389796610531935,desc_NumHAcceptors
0.003123928683220986,0.006731631990592315,desc_NumAliphaticRings
0.0028290800207423565,0.004623241898852391,desc_PEOE_VSA5
0.002776558656708152,0.003978754908266845,desc_SlogP_VSA12
0.002628584991966497,0.008501260613482215,desc_fr_sulfonamd
0.0026186149582627925,0.004446749990742645,desc_NumAromaticHeterocycles
0.002404302228343454,0.0040819642273218874,desc_SMR_VSA4
0.0022892722923657485,0.006220352807718125,desc_NumSaturatedHeterocycles
0.0022849838934499104,0.0042260466959964625,desc_NumAliphaticHeterocycles
0.0022493185717493668,0.005405636320316267,desc_fr_ketone_Topliss
0.0019755848557364655,0.0037052728957700813,desc_fr_halogen
0.001927915730857294,0.00473428480181414,desc_fr_allylic_oxid
0.0019137103854344564,0.004612176146886045,desc_fr_Ar_OH
0.00163369434063581,0.0030999911714393383,desc_fr_unbrch_alkane
0.0016281333921238706,0.0030566124075281937,desc_fr_furan
0.0016005993384233031,0.00391946273837244,desc_NumSaturatedRings
0.0015584605132712057,0.0036006057221627005,desc_fr_ether
0.0015398077957000627,0.0041871825157488345,desc_NumAliphaticCarbocycles
0.0014835221184742978,0.003523667809822105,desc_fr_phenol_noOrthoHbond
0.001476148543257932,0.003024525464349561,desc_SlogP_VSA7
0.001420005044560536,0.003403241823827684,desc_fr_phenol
0.0014135792510977518,0.004565267406445969,desc_fr_sulfide
0.0013186065434829077,0.003621259247302077,desc_fr_Al_OH
0.001260229821587012,0.004150759675739555,desc_NumSaturatedCarbocycles
0.0012060863535879984,0.003060627532918986,desc_fr_methoxy
0.0010568268035487103,0.002684788150283322,desc_fr_thiophene
0.0009828109662180678,0.0016823179921617673,desc_fr_para_hydroxylation
0.0009778085414529725,0.002509060871899763,desc_fr_thiazole
0.0008704516187309646,0.001985121898464109,desc_fr_nitrile
0.0008630011504471298,0.002496554690614708,desc_fr_Al_OH_noTert
0.0008491723495660383,0.0019089732363308772,desc_SMR_VSA2
0.0007759545286272708,0.002236421626519144,desc_fr_C_S
0.0007749909703407354,0.0020959347362041604,desc_fr_hdrzone
0.0007661920057386112,0.0016657464269807835,desc_fr_ester
0.0007612888337255008,0.0015045983569263286,desc_fr_pyridine
0.0007302226373774062,0.0018898985875492164,desc_fr_alkyl_halide
0.0007216056786739936,0.0020528734954198746,desc_fr_nitro_arom
0.0007146225855893489,0.001613797738784267,desc_fr_imide
0.0006982235249010547,0.001872304472318489,desc_fr_urea
0.0006916873643999626,0.0015969877085331991,desc_fr_ArN
0.0006840638155149228,0.0015981956174380672,desc_fr_N_O
0.0006792789836369739,0.0019086377908878421,desc_fr_nitro
0.0006788822148165985,0.001825430559781242,desc_fr_Ndealkylation2
0.0006724397772855401,0.0017674115083602519,desc_fr_term_acetylene
0.0006686404538231272,0.0014409275815667907,desc_fr_NH2
0.0006473682575177097,0.001967433721459083,desc_fr_piperdine
0.0006423680214514319,0.0014529317821691007,desc_fr_morpholine
0.0005513267680827599,0.0013181920317348746,desc_fr_Nhpyrrole
0.0005457654675996942,0.001287615708474853,desc_fr_Ar_NH
0.0004629615880507172,0.0011322940558617478,desc_fr_Ndealkylation1
0.00034993105361022856,0.0008996266036072895,desc_fr_Imine
0.00033272909406967607,0.0010123962604878596,desc_fr_imidazole
0.0003136855763957341,0.000891635506072998,desc_fr_COO2
0.00031168240699670584,0.0008739994099972466,desc_fr_COO
