c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.010_sigmoid_0.5_0.3_desc,0.575,0.04,0.02,0.004,0.592,0.035,0.029,0.004,sigmoid,desc,0.01,0.5,,0.3,0.306
10.000_sigmoid_auto_3.0_desc,0.565,0.032,0.028,0.006,0.584,0.036,0.028,0.003,sigmoid,desc,10.0,auto,,3.0,0.306
0.100_sigmoid_0.5_-1.0_desc,0.572,0.01,0.023,0.003,0.588,0.016,0.03,0.001,sigmoid,desc,0.1,0.5,,-1.0,0.3055
10.000_sigmoid_scale_3.0_desc,0.563,0.031,0.029,0.006,0.582,0.036,0.028,0.003,sigmoid,desc,10.0,scale,,3.0,0.3055
0.010_sigmoid_0.1_0.3_desc,0.565,0.021,0.023,0.005,0.587,0.031,0.028,0.002,sigmoid,desc,0.01,0.1,,0.3,0.305
10.000_sigmoid_0.1_1.0_desc,0.575,0.036,0.022,0.006,0.588,0.03,0.029,0.003,sigmoid,desc,10.0,0.1,,1.0,0.305
0.010_sigmoid_0.5_0.0_desc,0.573,0.009,0.021,0.001,0.588,0.013,0.031,0.001,sigmoid,desc,0.01,0.5,,0.0,0.3045
0.100_sigmoid_0.5_-1.0_desc,0.569,0.023,0.019,0.002,0.589,0.028,0.028,0.002,sigmoid,desc,0.1,0.5,,-1.0,0.304
1.000_sigmoid_0.5_-1.0_desc,0.569,0.023,0.019,0.003,0.589,0.028,0.028,0.002,sigmoid,desc,1.0,0.5,,-1.0,0.304
0.100_sigmoid_0.5_0.0_desc,0.572,0.014,0.02,0.002,0.586,0.014,0.03,0.001,sigmoid,desc,0.1,0.5,,0.0,0.303
0.001_sigmoid_0.5_10.0_desc,0.547,0.012,0.017,0.001,0.588,0.013,0.028,0.001,sigmoid,desc,0.001,0.5,,10.0,0.3025
0.010_sigmoid_0.5_0.3_desc,0.577,0.011,0.02,0.002,0.585,0.012,0.031,0.001,sigmoid,desc,0.01,0.5,,0.3,0.3025
0.100_sigmoid_0.1_-1.0_desc,0.567,0.041,0.021,0.003,0.584,0.038,0.028,0.004,sigmoid,desc,0.1,0.1,,-1.0,0.3025
0.010_sigmoid_0.1_0.0_desc,0.573,0.014,0.021,0.002,0.582,0.013,0.031,0.002,sigmoid,desc,0.01,0.1,,0.0,0.3015
0.001_sigmoid_0.1_3.0_desc,0.572,0.027,0.016,0.003,0.587,0.033,0.029,0.003,sigmoid,desc,0.001,0.1,,3.0,0.3015
1.000_sigmoid_0.1_-1.0_desc,0.572,0.029,0.023,0.007,0.58,0.035,0.029,0.003,sigmoid,desc,1.0,0.1,,-1.0,0.3015
0.010_sigmoid_0.1_0.3_desc,0.569,0.019,0.022,0.003,0.58,0.014,0.031,0.002,sigmoid,desc,0.01,0.1,,0.3,0.301
0.010_sigmoid_0.1_1.0_desc,0.56,0.032,0.022,0.006,0.579,0.04,0.028,0.003,sigmoid,desc,0.01,0.1,,1.0,0.3005
10.000_sigmoid_0.5_3.0_desc,0.556,0.015,0.021,0.003,0.58,0.023,0.027,0.001,sigmoid,desc,10.0,0.5,,3.0,0.3005
10.000_sigmoid_0.1_-1.0_desc,0.562,0.023,0.024,0.008,0.576,0.03,0.028,0.002,sigmoid,desc,10.0,0.1,,-1.0,0.3
10.000_sigmoid_0.5_1.0_desc,0.56,0.02,0.019,0.002,0.581,0.019,0.028,0.002,sigmoid,desc,10.0,0.5,,1.0,0.3
0.010_sigmoid_0.5_-1.0_desc,0.568,0.021,0.022,0.002,0.577,0.026,0.03,0.002,sigmoid,desc,0.01,0.5,,-1.0,0.2995
0.100_sigmoid_0.1_0.3_desc,0.565,0.018,0.02,0.002,0.578,0.014,0.03,0.002,sigmoid,desc,0.1,0.1,,0.3,0.299
0.100_sigmoid_0.1_0.3_desc,0.561,0.028,0.021,0.005,0.577,0.035,0.028,0.002,sigmoid,desc,0.1,0.1,,0.3,0.299
0.001_sigmoid_0.1_3.0_desc,0.563,0.011,0.017,0.001,0.579,0.014,0.029,0.001,sigmoid,desc,0.001,0.1,,3.0,0.298
0.010_sigmoid_0.5_3.0_desc,0.572,0.006,0.019,0.002,0.577,0.008,0.031,0.001,sigmoid,desc,0.01,0.5,,3.0,0.298
1.000_sigmoid_0.1_1.0_desc,0.553,0.021,0.021,0.005,0.575,0.022,0.027,0.002,sigmoid,desc,1.0,0.1,,1.0,0.298
10.000_sigmoid_0.1_0.3_desc,0.558,0.018,0.023,0.003,0.573,0.025,0.027,0.002,sigmoid,desc,10.0,0.1,,0.3,0.298
0.100_sigmoid_0.5_3.0_desc,0.568,0.004,0.02,0.002,0.575,0.008,0.03,0.0,sigmoid,desc,0.1,0.5,,3.0,0.2975
0.100_sigmoid_0.5_0.3_desc,0.567,0.009,0.019,0.0,0.574,0.011,0.03,0.001,sigmoid,desc,0.1,0.5,,0.3,0.2965
0.010_sigmoid_0.5_1.0_desc,0.559,0.014,0.019,0.002,0.573,0.021,0.029,0.001,sigmoid,desc,0.01,0.5,,1.0,0.296
0.010_sigmoid_0.1_1.0_desc,0.568,0.014,0.021,0.005,0.57,0.014,0.03,0.002,sigmoid,desc,0.01,0.1,,1.0,0.2955
0.100_sigmoid_auto_1.0_desc,0.558,0.02,0.025,0.002,0.566,0.024,0.029,0.002,sigmoid,desc,0.1,auto,,1.0,0.2955
0.100_sigmoid_0.1_0.0_desc,0.563,0.017,0.02,0.002,0.571,0.021,0.03,0.002,sigmoid,desc,0.1,0.1,,0.0,0.2955
0.010_sigmoid_0.5_3.0_desc,0.552,0.024,0.02,0.004,0.571,0.034,0.027,0.002,sigmoid,desc,0.01,0.5,,3.0,0.2955
1.000_sigmoid_0.5_3.0_desc,0.549,0.021,0.02,0.004,0.571,0.03,0.026,0.002,sigmoid,desc,1.0,0.5,,3.0,0.2955
0.100_sigmoid_0.1_1.0_desc,0.565,0.015,0.022,0.003,0.567,0.014,0.03,0.002,sigmoid,desc,0.1,0.1,,1.0,0.2945
0.100_sigmoid_0.1_1.0_desc,0.559,0.036,0.019,0.006,0.57,0.04,0.027,0.003,sigmoid,desc,0.1,0.1,,1.0,0.2945
1.000_sigmoid_0.5_1.0_desc,0.552,0.02,0.019,0.004,0.57,0.023,0.027,0.002,sigmoid,desc,1.0,0.5,,1.0,0.2945
0.100_sigmoid_scale_1.0_desc,0.558,0.021,0.024,0.002,0.563,0.024,0.029,0.002,sigmoid,desc,0.1,scale,,1.0,0.2935
0.010_sigmoid_0.5_0.0_desc,0.556,0.025,0.018,0.002,0.569,0.025,0.027,0.002,sigmoid,desc,0.01,0.5,,0.0,0.2935
1.000_sigmoid_scale_1.0_desc,0.551,0.02,0.025,0.002,0.56,0.024,0.028,0.002,sigmoid,desc,1.0,scale,,1.0,0.2925
1.000_sigmoid_0.5_0.0_desc,0.56,0.035,0.017,0.002,0.568,0.041,0.028,0.004,sigmoid,desc,1.0,0.5,,0.0,0.2925
0.010_sigmoid_0.1_3.0_desc,0.551,0.015,0.016,0.001,0.568,0.024,0.028,0.002,sigmoid,desc,0.01,0.1,,3.0,0.292
0.001_sigmoid_auto_10.0_desc,0.5,0.0,0.023,0.004,0.56,0.032,0.022,0.0,sigmoid,desc,0.001,auto,,10.0,0.2915
0.010_sigmoid_auto_10.0_desc,0.5,0.0,0.023,0.004,0.56,0.032,0.022,0.0,sigmoid,desc,0.01,auto,,10.0,0.2915
0.100_sigmoid_auto_10.0_desc,0.5,0.0,0.023,0.004,0.56,0.032,0.022,0.0,sigmoid,desc,0.1,auto,,10.0,0.2915
0.100_sigmoid_0.5_1.0_desc,0.559,0.019,0.018,0.002,0.565,0.022,0.029,0.002,sigmoid,desc,0.1,0.5,,1.0,0.2915
0.100_sigmoid_0.1_3.0_desc,0.55,0.014,0.016,0.001,0.566,0.026,0.028,0.002,sigmoid,desc,0.1,0.1,,3.0,0.291
0.010_sigmoid_0.5_1.0_desc,0.548,0.013,0.017,0.002,0.565,0.018,0.026,0.001,sigmoid,desc,0.01,0.5,,1.0,0.291
1.000_sigmoid_scale_3.0_desc,0.555,0.021,0.023,0.003,0.557,0.024,0.029,0.002,sigmoid,desc,1.0,scale,,3.0,0.29
0.001_sigmoid_scale_10.0_desc,0.5,0.0,0.022,0.005,0.558,0.036,0.022,0.0,sigmoid,desc,0.001,scale,,10.0,0.29
0.010_sigmoid_scale_10.0_desc,0.5,0.0,0.022,0.005,0.558,0.036,0.022,0.0,sigmoid,desc,0.01,scale,,10.0,0.29
0.100_sigmoid_scale_10.0_desc,0.5,0.0,0.022,0.005,0.558,0.036,0.022,0.0,sigmoid,desc,0.1,scale,,10.0,0.29
1.000_sigmoid_scale_10.0_desc,0.5,0.0,0.021,0.004,0.559,0.034,0.022,0.0,sigmoid,desc,1.0,scale,,10.0,0.29
1.000_sigmoid_auto_10.0_desc,0.5,0.0,0.021,0.004,0.559,0.036,0.022,0.0,sigmoid,desc,1.0,auto,,10.0,0.29
10.000_sigmoid_0.5_0.0_desc,0.546,0.02,0.018,0.003,0.561,0.024,0.026,0.002,sigmoid,desc,10.0,0.5,,0.0,0.2895
0.001_sigmoid_0.1_10.0_desc,0.517,0.02,0.049,0.026,0.529,0.062,0.023,0.001,sigmoid,desc,0.001,0.1,,10.0,0.289
0.010_sigmoid_0.5_10.0_desc,0.555,0.014,0.014,0.002,0.558,0.033,0.027,0.001,sigmoid,desc,0.01,0.5,,10.0,0.286
0.100_sigmoid_0.5_1.0_desc,0.537,0.021,0.018,0.005,0.553,0.013,0.025,0.002,sigmoid,desc,0.1,0.5,,1.0,0.2855
0.100_sigmoid_0.5_10.0_desc,0.548,0.013,0.014,0.002,0.551,0.035,0.026,0.001,sigmoid,desc,0.1,0.5,,10.0,0.2825
0.010_sigmoid_0.5_10.0_desc,0.533,0.015,0.015,0.001,0.549,0.019,0.026,0.001,sigmoid,desc,0.01,0.5,,10.0,0.282
0.100_sigmoid_auto_10.0_desc,0.5,0.0,0.022,0.003,0.541,0.027,0.023,0.0,sigmoid,desc,0.1,auto,,10.0,0.2815
0.010_sigmoid_0.1_3.0_desc,0.537,0.025,0.014,0.002,0.549,0.036,0.025,0.002,sigmoid,desc,0.01,0.1,,3.0,0.2815
1.000_sigmoid_0.5_10.0_desc,0.544,0.016,0.013,0.002,0.55,0.036,0.026,0.002,sigmoid,desc,1.0,0.5,,10.0,0.2815
0.001_sigmoid_auto_10.0_desc,0.5,0.0,0.022,0.003,0.539,0.024,0.023,0.0,sigmoid,desc,0.001,auto,,10.0,0.2805
0.010_sigmoid_auto_10.0_desc,0.5,0.0,0.022,0.003,0.539,0.024,0.023,0.0,sigmoid,desc,0.01,auto,,10.0,0.2805
1.000_sigmoid_scale_10.0_desc,0.5,0.0,0.021,0.003,0.539,0.023,0.023,0.0,sigmoid,desc,1.0,scale,,10.0,0.28
0.100_sigmoid_0.1_3.0_desc,0.538,0.024,0.014,0.002,0.546,0.036,0.025,0.002,sigmoid,desc,0.1,0.1,,3.0,0.28
1.000_sigmoid_0.1_3.0_desc,0.539,0.024,0.014,0.002,0.546,0.037,0.025,0.002,sigmoid,desc,1.0,0.1,,3.0,0.28
0.001_sigmoid_scale_10.0_desc,0.5,0.0,0.022,0.003,0.537,0.025,0.023,0.0,sigmoid,desc,0.001,scale,,10.0,0.2795
0.010_sigmoid_scale_10.0_desc,0.5,0.0,0.022,0.003,0.537,0.025,0.023,0.0,sigmoid,desc,0.01,scale,,10.0,0.2795
10.000_sigmoid_0.1_3.0_desc,0.539,0.023,0.014,0.002,0.545,0.036,0.025,0.002,sigmoid,desc,10.0,0.1,,3.0,0.2795
0.100_sigmoid_scale_10.0_desc,0.5,0.0,0.021,0.003,0.537,0.026,0.023,0.0,sigmoid,desc,0.1,scale,,10.0,0.279
0.100_sigmoid_0.5_10.0_desc,0.534,0.015,0.015,0.001,0.542,0.02,0.026,0.002,sigmoid,desc,0.1,0.5,,10.0,0.2785
10.000_sigmoid_0.5_10.0_desc,0.54,0.03,0.013,0.002,0.537,0.046,0.025,0.003,sigmoid,desc,10.0,0.5,,10.0,0.275
0.100_sigmoid_0.1_10.0_desc,0.487,0.033,0.038,0.021,0.48,0.054,0.021,0.003,sigmoid,desc,0.1,0.1,,10.0,0.259
0.010_sigmoid_0.1_10.0_desc,0.474,0.033,0.03,0.018,0.473,0.047,0.02,0.003,sigmoid,desc,0.01,0.1,,10.0,0.2515
10.000_sigmoid_0.1_10.0_desc,0.476,0.028,0.026,0.017,0.465,0.042,0.02,0.002,sigmoid,desc,10.0,0.1,,10.0,0.2455
1.000_sigmoid_0.1_10.0_desc,0.476,0.021,0.02,0.011,0.464,0.032,0.02,0.002,sigmoid,desc,1.0,0.1,,10.0,0.242
0.001_sigmoid_0.1_10.0_desc,0.48,0.016,0.018,0.003,0.451,0.016,0.022,0.001,sigmoid,desc,0.001,0.1,,10.0,0.2345
0.100_sigmoid_0.1_10.0_desc,0.439,0.014,0.015,0.006,0.423,0.024,0.018,0.001,sigmoid,desc,0.1,0.1,,10.0,0.219
0.010_sigmoid_0.1_10.0_desc,0.439,0.013,0.013,0.004,0.422,0.024,0.018,0.001,sigmoid,desc,0.01,0.1,,10.0,0.2175
3.000_sigmoid_scale_-1.0_fps,0.796,0.025,0.701,0.045,0.92,0.021,0.721,0.049,sigmoid,fps,3.0,scale,,-1.0,0.8105
30.000_sigmoid_scale_-1.0_fps,0.78,0.018,0.672,0.036,0.926,0.02,0.687,0.036,sigmoid,fps,30.0,scale,,-1.0,0.799
10.000_sigmoid_scale_-1.0_fps,0.779,0.013,0.671,0.037,0.926,0.019,0.686,0.029,sigmoid,fps,10.0,scale,,-1.0,0.7985
0.100_sigmoid_scale_-1.0_fps,0.816,0.011,0.655,0.037,0.933,0.007,0.611,0.032,sigmoid,fps,0.1,scale,,-1.0,0.794
1.000_sigmoid_scale_-1.0_fps,0.776,0.023,0.67,0.03,0.904,0.009,0.677,0.035,sigmoid,fps,1.0,scale,,-1.0,0.787
0.100_sigmoid_scale_-1.0_fps,0.815,0.019,0.618,0.025,0.926,0.018,0.579,0.015,sigmoid,fps,0.1,scale,,-1.0,0.772
0.010_sigmoid_scale_-1.0_fps,0.772,0.016,0.578,0.028,0.918,0.02,0.569,0.021,sigmoid,fps,0.01,scale,,-1.0,0.748
0.001_sigmoid_scale_-1.0_fps,0.5,0.0,0.53,0.093,0.907,0.025,0.02,0.01,sigmoid,fps,0.001,scale,,-1.0,0.7185
0.010_sigmoid_scale_0.0_fps,0.825,0.026,0.477,0.03,0.913,0.021,0.244,0.023,sigmoid,fps,0.01,scale,,0.0,0.6950000000000001
0.001_sigmoid_scale_0.0_fps,0.502,0.005,0.449,0.086,0.895,0.025,0.02,0.01,sigmoid,fps,0.001,scale,,0.0,0.672
0.001_sigmoid_auto_0.0_fps,0.502,0.004,0.449,0.086,0.895,0.025,0.02,0.01,sigmoid,fps,0.001,auto,,0.0,0.672
0.010_sigmoid_scale_0.3_fps,0.827,0.029,0.435,0.036,0.908,0.022,0.213,0.016,sigmoid,fps,0.01,scale,,0.3,0.6715
0.001_sigmoid_scale_0.3_fps,0.5,0.0,0.423,0.082,0.892,0.025,0.02,0.01,sigmoid,fps,0.001,scale,,0.3,0.6575
0.001_sigmoid_auto_0.3_fps,0.5,0.0,0.423,0.082,0.892,0.025,0.02,0.01,sigmoid,fps,0.001,auto,,0.3,0.6575
0.010_sigmoid_scale_1.0_fps,0.778,0.011,0.392,0.032,0.894,0.023,0.271,0.034,sigmoid,fps,0.01,scale,,1.0,0.643
0.100_sigmoid_scale_0.0_fps,0.853,0.011,0.37,0.038,0.912,0.009,0.179,0.006,sigmoid,fps,0.1,scale,,0.0,0.641
0.001_sigmoid_scale_1.0_fps,0.5,0.0,0.388,0.075,0.887,0.025,0.02,0.01,sigmoid,fps,0.001,scale,,1.0,0.6375
0.100_sigmoid_scale_3.0_fps,0.5,0.0,0.391,0.034,0.883,0.009,0.005,0.009,sigmoid,fps,0.1,scale,,3.0,0.637
0.001_sigmoid_scale_3.0_fps,0.5,0.0,0.374,0.072,0.885,0.025,0.02,0.01,sigmoid,fps,0.001,scale,,3.0,0.6295
0.100_sigmoid_scale_0.0_fps,0.834,0.01,0.301,0.039,0.906,0.01,0.156,0.004,sigmoid,fps,0.1,scale,,0.0,0.6035
0.100_sigmoid_scale_0.3_fps,0.84,0.016,0.297,0.04,0.904,0.011,0.143,0.006,sigmoid,fps,0.1,scale,,0.3,0.6005
3.000_sigmoid_scale_3.0_fps,0.843,0.028,0.293,0.046,0.905,0.023,0.148,0.011,sigmoid,fps,3.0,scale,,3.0,0.599
0.100_sigmoid_scale_1.0_fps,0.836,0.012,0.296,0.03,0.901,0.012,0.135,0.006,sigmoid,fps,0.1,scale,,1.0,0.5985
1.000_sigmoid_scale_3.0_fps,0.804,0.02,0.298,0.05,0.883,0.01,0.158,0.005,sigmoid,fps,1.0,scale,,3.0,0.5905
3.000_sigmoid_scale_0.0_fps,0.802,0.022,0.202,0.052,0.874,0.022,0.128,0.009,sigmoid,fps,3.0,scale,,0.0,0.538
1.000_sigmoid_scale_0.0_fps,0.789,0.015,0.212,0.036,0.861,0.017,0.112,0.004,sigmoid,fps,1.0,scale,,0.0,0.5365
10.000_sigmoid_scale_0.0_fps,0.785,0.02,0.164,0.033,0.868,0.013,0.113,0.007,sigmoid,fps,10.0,scale,,0.0,0.516
30.000_sigmoid_scale_0.0_fps,0.777,0.014,0.163,0.032,0.863,0.013,0.112,0.008,sigmoid,fps,30.0,scale,,0.0,0.513
3.000_sigmoid_scale_0.3_fps,0.79,0.009,0.144,0.028,0.856,0.022,0.095,0.001,sigmoid,fps,3.0,scale,,0.3,0.5
10.000_sigmoid_scale_3.0_fps,0.793,0.016,0.13,0.021,0.861,0.02,0.089,0.003,sigmoid,fps,10.0,scale,,3.0,0.4955
1.000_sigmoid_scale_0.3_fps,0.77,0.009,0.137,0.02,0.84,0.009,0.084,0.002,sigmoid,fps,1.0,scale,,0.3,0.4885
30.000_sigmoid_scale_0.3_fps,0.773,0.012,0.13,0.018,0.845,0.013,0.084,0.004,sigmoid,fps,30.0,scale,,0.3,0.4875
10.000_sigmoid_scale_0.3_fps,0.776,0.017,0.118,0.024,0.844,0.007,0.083,0.004,sigmoid,fps,10.0,scale,,0.3,0.481
3.000_sigmoid_scale_1.0_fps,0.767,0.025,0.121,0.023,0.841,0.027,0.077,0.004,sigmoid,fps,3.0,scale,,1.0,0.481
1.000_sigmoid_scale_1.0_fps,0.74,0.008,0.114,0.039,0.822,0.004,0.068,0.002,sigmoid,fps,1.0,scale,,1.0,0.4679999999999999
30.000_sigmoid_scale_3.0_fps,0.757,0.012,0.102,0.015,0.832,0.019,0.071,0.003,sigmoid,fps,30.0,scale,,3.0,0.4669999999999999
30.000_sigmoid_scale_1.0_fps,0.757,0.017,0.102,0.02,0.825,0.015,0.07,0.004,sigmoid,fps,30.0,scale,,1.0,0.4634999999999999
10.000_sigmoid_scale_1.0_fps,0.744,0.015,0.089,0.019,0.81,0.022,0.066,0.003,sigmoid,fps,10.0,scale,,1.0,0.4495
3.000_sigmoid_scale_10.0_fps,0.5,0.0,0.081,0.017,0.8,0.018,0.025,0.0,sigmoid,fps,3.0,scale,,10.0,0.4405
0.100_sigmoid_scale_10.0_fps,0.5,0.0,0.076,0.021,0.774,0.011,0.023,0.0,sigmoid,fps,0.1,scale,,10.0,0.425
30.000_sigmoid_scale_10.0_fps,0.5,0.0,0.068,0.014,0.776,0.015,0.024,0.0,sigmoid,fps,30.0,scale,,10.0,0.422
1.000_sigmoid_scale_10.0_fps,0.5,0.0,0.081,0.014,0.763,0.016,0.025,0.0,sigmoid,fps,1.0,scale,,10.0,0.422
10.000_sigmoid_scale_10.0_fps,0.5,0.0,0.067,0.014,0.77,0.014,0.024,0.0,sigmoid,fps,10.0,scale,,10.0,0.4185
0.001_sigmoid_auto_-1.0_fps,,,,,,,,,sigmoid,fps,0.001,auto,,-1.0,
0.001_sigmoid_auto_1.0_fps,,,,,,,,,sigmoid,fps,0.001,auto,,1.0,
10.000_tanimoto_nogamma_fps,0.768,0.021,0.726,0.04,0.935,0.014,0.684,0.041,tanimoto,fps,10.0,,,,0.8305
10.000_tanimoto_nogamma_fps,0.768,0.021,0.726,0.04,0.935,0.014,0.684,0.041,tanimoto,fps,10.0,,,,0.8305
1.000_tanimoto_nogamma_fps,0.776,0.019,0.723,0.039,0.936,0.014,0.692,0.041,tanimoto,fps,1.0,,,,0.8295
1.000_tanimoto_nogamma_fps,0.776,0.019,0.723,0.039,0.936,0.014,0.692,0.041,tanimoto,fps,1.0,,,,0.8295
0.500_tanimoto_nogamma_fps,0.799,0.028,0.703,0.067,0.929,0.016,0.71,0.059,tanimoto,fps,0.5,,,,0.8160000000000001
2.000_tanimoto_nogamma_fps,0.781,0.027,0.707,0.068,0.923,0.018,0.702,0.048,tanimoto,fps,2.0,,,,0.815
5.000_tanimoto_nogamma_fps,0.781,0.025,0.706,0.067,0.921,0.017,0.703,0.046,tanimoto,fps,5.0,,,,0.8135
15.000_tanimoto_nogamma_fps,0.78,0.024,0.706,0.067,0.921,0.017,0.701,0.044,tanimoto,fps,15.0,,,,0.8135
30.000_tanimoto_nogamma_fps,0.78,0.024,0.706,0.067,0.921,0.017,0.701,0.044,tanimoto,fps,30.0,,,,0.8135
0.100_tanimoto_nogamma_fps,0.846,0.009,0.648,0.046,0.942,0.014,0.569,0.021,tanimoto,fps,0.1,,,,0.7949999999999999
0.100_tanimoto_nogamma_fps,0.846,0.009,0.648,0.046,0.942,0.014,0.569,0.021,tanimoto,fps,0.1,,,,0.7949999999999999
0.010_tanimoto_nogamma_fps,0.84,0.013,0.441,0.05,0.912,0.015,0.17,0.007,tanimoto,fps,0.01,,,,0.6765
0.010_tanimoto_nogamma_fps,0.84,0.013,0.441,0.05,0.912,0.015,0.17,0.007,tanimoto,fps,0.01,,,,0.6765
0.001_tanimoto_nogamma_fps,0.5,0.0,0.259,0.052,0.873,0.02,0.02,0.01,tanimoto,fps,0.001,,,,0.5660000000000001
0.001_tanimoto_nogamma_fps,0.5,0.0,0.259,0.052,0.873,0.02,0.02,0.01,tanimoto,fps,0.001,,,,0.5660000000000001
