c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.100_sigmoid_auto_0.3_both,0.851,0.013,0.248,0.019,0.917,0.018,0.148,0.002,sigmoid,both,0.1,auto,,0.3,0.5825
0.500_sigmoid_auto_0.0_both,0.836,0.013,0.257,0.029,0.907,0.004,0.145,0.004,sigmoid,both,0.5,auto,,0.0,0.5820000000000001
0.500_sigmoid_scale_0.0_both,0.835,0.009,0.257,0.028,0.905,0.006,0.144,0.004,sigmoid,both,0.5,scale,,0.0,0.581
0.100_sigmoid_scale_0.3_both,0.849,0.012,0.241,0.019,0.915,0.017,0.146,0.003,sigmoid,both,0.1,scale,,0.3,0.5780000000000001
0.100_sigmoid_auto_1.0_both,0.845,0.014,0.227,0.02,0.911,0.02,0.133,0.005,sigmoid,both,0.1,auto,,1.0,0.5690000000000001
0.100_sigmoid_scale_1.0_both,0.845,0.014,0.226,0.02,0.911,0.02,0.133,0.005,sigmoid,both,0.1,scale,,1.0,0.5685
1.000_sigmoid_auto_0.0_both,0.822,0.007,0.225,0.019,0.9,0.007,0.14,0.004,sigmoid,both,1.0,auto,,0.0,0.5625
1.000_sigmoid_scale_0.0_both,0.825,0.01,0.224,0.017,0.896,0.009,0.139,0.004,sigmoid,both,1.0,scale,,0.0,0.56
5.000_sigmoid_auto_3.0_both,0.829,0.026,0.204,0.032,0.899,0.017,0.114,0.004,sigmoid,both,5.0,auto,,3.0,0.5515
5.000_sigmoid_scale_3.0_both,0.828,0.027,0.201,0.034,0.899,0.017,0.113,0.005,sigmoid,both,5.0,scale,,3.0,0.55
2.000_sigmoid_auto_0.0_both,0.814,0.026,0.206,0.038,0.89,0.02,0.137,0.01,sigmoid,both,2.0,auto,,0.0,0.548
5.000_sigmoid_scale_0.0_both,0.8,0.024,0.21,0.015,0.884,0.011,0.133,0.009,sigmoid,both,5.0,scale,,0.0,0.547
0.500_sigmoid_scale_0.3_both,0.82,0.021,0.197,0.042,0.893,0.01,0.105,0.006,sigmoid,both,0.5,scale,,0.3,0.545
